Date,Total
2023-06-19,18
2023-06-20,15
2023-06-21,28
2023-06-22,26
2023-06-23,15
2023-06-24,17
2023-06-25,26
2023-06-26,19
2023-06-27,22
2023-06-28,30
2023-06-29,18
2023-06-30,32
2023-07-01,19
2023-07-02,19
2023-07-03,13
2023-07-04,21
2023-07-05,21
2023-07-06,27
2023-07-07,24
2023-07-08,14
2023-07-09,28
2023-07-10,19
2023-07-11,35
2023-07-12,19
2023-07-13,15
2023-07-14,14
2023-07-15,19
2023-07-16,20
2023-07-17,24
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,6
2023-07-25,15
2023-07-26,9
2023-07-27,27
2023-07-28,7
2023-07-29,17
2023-07-30,19
2023-07-31,20
2023-08-01,19
2023-08-02,21
2023-08-03,14
2023-08-04,15
2023-08-05,17
2023-08-06,13
2023-08-07,17
2023-08-08,17
2023-08-09,22
2023-08-10,17
2023-08-11,18
2023-08-12,20
2023-08-13,16
2023-08-14,20
2023-08-15,8
2023-08-16,19
2023-08-17,11
2023-08-18,14
2023-08-19,15
2023-08-20,13
2023-08-21,15
2023-08-22,19
2023-08-23,18
2023-08-24,9
2023-08-25,10
2023-08-26,12
2023-08-27,15
2023-08-28,18
2023-08-29,13
2023-08-30,15
2023-08-31,12
2023-09-01,9
2023-09-02,5
2023-09-03,11
2023-09-04,12
2023-09-05,7
2023-09-06,10
2023-09-07,11
2023-09-08,12
2023-09-09,10
2023-09-10,17
2023-09-11,10
2023-09-12,14
2023-09-13,7
2023-09-14,15
2023-09-15,11
2023-09-16,13
2023-09-17,8
2023-09-18,19
2023-09-19,12
2023-09-20,11
2023-09-21,16
2023-09-22,16
2023-09-23,12
2023-09-24,19
2023-09-25,12
2023-09-26,15
2023-09-27,21
2023-09-28,8
2023-09-29,6
2023-09-30,9
2023-10-01,12
2023-10-02,14
2023-10-03,21
2023-10-04,11
2023-10-05,13
2023-10-06,7
2023-10-07,15
2023-10-08,12
2023-10-09,10
2023-10-10,21
2023-10-11,32
2023-10-12,18
2023-10-13,16
2023-10-14,18
2023-10-15,9
2023-10-16,16
2023-10-17,9
2023-10-18,24
2023-10-19,7
2023-10-20,11
2023-10-21,17
2023-10-22,15
2023-10-23,13
2023-10-24,15
2023-10-25,12
2023-10-26,6
2023-10-27,13
2023-10-28,14
2023-10-29,13
2023-10-30,8
2023-10-31,10
2023-11-01,10
2023-11-02,16
2023-11-03,21
2023-11-04,13
2023-11-05,24
2023-11-06,15
2023-11-07,28
2023-11-08,25
2023-11-09,34
2023-11-10,32
2023-11-11,43
2023-11-12,30
2023-11-13,34
2023-11-14,33
2023-11-15,42
2023-11-16,37
2023-11-17,41
2023-11-18,44
2023-11-19,36
2023-11-20,35
2023-11-21,37
2023-11-22,34
2023-11-23,36
2023-11-24,96
2023-11-25,54
2023-11-26,50
2023-11-27,122
2023-11-28,35
2023-11-29,42
2023-11-30,40
2023-12-01,45
2023-12-02,65
2023-12-03,67
2023-12-04,67
2023-12-05,50
2023-12-06,65
2023-12-07,58
2023-12-08,62
2023-12-09,59
2023-12-10,58
2023-12-11,94
2023-12-12,77
2023-12-13,53
2023-12-14,51
2023-12-15,60
2023-12-16,55
2023-12-17,46
2023-12-18,54
2023-12-19,44
2023-12-20,33
2023-12-21,28
2023-12-22,22
2023-12-23,8
2023-12-24,14
2023-12-25,13
2023-12-26,10
2023-12-27,11
2023-12-28,16
2023-12-29,17
2023-12-30,10
2023-12-31,11
2024-01-01,12
2024-01-02,13
2024-01-03,8
2024-01-04,18
2024-01-05,11
2024-01-06,18
2024-01-07,20
2024-01-08,24
2024-01-09,25
2024-01-10,21
2024-01-11,16
2024-01-12,20
2024-01-13,26
2024-01-14,24
2024-01-15,28
2024-01-16,22
2024-01-17,21
2024-01-18,13
2024-01-19,22
2024-01-20,21
2024-01-21,31
2024-01-22,34
2024-01-23,23
2024-01-24,29
2024-01-25,23
2024-01-26,61
2024-01-27,34
2024-01-28,30
2024-01-29,24
2024-01-30,23
2024-01-31,20
2024-02-01,30
2024-02-02,33
2024-02-03,21
2024-02-04,30
2024-02-05,32
2024-02-06,28
2024-02-07,21
2024-02-08,21
2024-02-09,37
2024-02-10,35
2024-02-11,42
2024-02-12,31
2024-02-13,52
2024-02-14,35
2024-02-15,32
2024-02-16,32
2024-02-17,16
2024-02-18,34
2024-02-19,27
2024-02-20,41
2024-02-21,23
2024-02-22,38
2024-02-23,23
2024-02-24,29
2024-02-25,32
2024-02-26,26
2024-02-27,36
2024-02-28,37
2024-02-29,32
2024-03-01,37
2024-03-02,31
2024-03-03,56
2024-03-04,48
2024-03-05,43
2024-03-06,52
2024-03-07,50
2024-03-08,30
2024-03-09,30
2024-03-10,53
2024-03-11,54
2024-03-12,27
2024-03-13,31
2024-03-14,51
2024-03-15,49
2024-03-16,40
2024-03-17,58
2024-03-18,39
2024-03-19,42
2024-03-20,48
2024-03-21,56
2024-03-22,56
2024-03-23,35
2024-03-24,58
2024-03-25,79
2024-03-26,56
2024-03-27,85
2024-03-28,38
2024-03-29,44
2024-03-30,34
2024-03-31,25
2024-04-01,59
2024-04-02,33
2024-04-03,35
2024-04-04,29
2024-04-05,23
2024-04-06,30
2024-04-07,21
2024-04-08,39
2024-04-09,35
2024-04-10,23
2024-04-11,24
2024-04-12,25
2024-04-13,24
2024-04-14,30
2024-04-15,29
2024-04-16,35
2024-04-17,23
2024-04-18,29
2024-04-19,20
2024-04-20,29
2024-04-21,23
2024-04-22,18
2024-04-23,25
2024-04-24,24
2024-04-25,21
2024-04-26,33
2024-04-27,23
2024-04-28,20
2024-04-29,34
2024-04-30,37
2024-05-01,38
2024-05-02,35
2024-05-03,42
2024-05-04,32
2024-05-05,51
2024-05-06,32
2024-05-07,69
2024-05-08,69
2024-05-09,72
2024-05-10,25
2024-05-11,23
2024-05-12,33
2024-05-13,44
2024-05-14,41
2024-05-15,27
2024-05-16,36
2024-05-17,32
2024-05-18,37
2024-05-19,52
2024-05-20,31
2024-05-21,62
2024-05-22,66
2024-05-23,41
2024-05-24,44
2024-05-25,30
2024-05-26,35
2024-05-27,26
2024-05-28,42
2024-05-29,48
2024-05-30,55
2024-05-31,41
2024-06-01,40
2024-06-02,41
2024-06-03,52
2024-06-04,45
2024-06-05,98
2024-06-06,58
2024-06-07,47
2024-06-08,44
2024-06-09,80
2024-06-10,78
2024-06-11,85
2024-06-12,77
2024-06-13,71
2024-06-14,55
2024-06-15,69
2024-06-16,68
2024-06-17,70
2024-06-18,49
2024-06-19,71
2024-06-20,72
2024-06-21,65
2024-06-22,58
2024-06-23,85
2024-06-24,86
2024-06-25,65
2024-06-26,70
2024-06-27,58
